algorithm	source	category	state_location	elsa_use	implementation_status	priority
Task Arithmetic	IC613_lec13_Federated_Learning_-_personalization_3 p.36-p.41; IC613_lec14 p.14	model_fusion_or_analysis	offline_delta_arithmetic	Inspect whether gripper/event improvements are transferable deltas.	not_implemented	medium
Gradient inversion attack	IC613_lec14_Federated_Learning_-_Privacy p.23-p.24; IC613_lec15 p.6-p.7	privacy_attack_diagnostic	attacker_observes_gradient_or_update	Risk analysis for sharing high-dimensional robot updates.	not_implemented	low
Membership Inference Attack	IC613_lec15_Federated_Learning_-_Privacy_2 p.4-p.5	privacy_attack_diagnostic	attacker_observes_model_outputs_or_gradients	Risk from repeatedly shared global models; mostly audit/reporting for current benchmark.	not_implemented	low
Differential Privacy	IC613_lec14_Federated_Learning_-_Privacy p.26-p.37; IC613_lec15 p.9-p.20	privacy_protocol	client_or_server_noise	Add only for real multi-institution setting; likely hurts current benchmark signal.	not_implemented	low
Laplace epsilon-DP mechanism	IC613_lec15_Federated_Learning_-_Privacy_2 p.14-p.15	privacy_protocol	noise_mechanism	Basic DP mechanism; useful for writeup, not current performance experiments.	reference_only	low
Local Differential Privacy	IC613_lec14_Federated_Learning_-_Privacy p.33,p.36-p.37; IC613_lec15 p.16,p.19-p.20	privacy_protocol	client_noise_before_upload	Max privacy, high utility cost; not priority for ELSA benchmark.	not_implemented	low
Global Differential Privacy in FL	IC613_lec14_Federated_Learning_-_Privacy p.34-p.35; IC613_lec15 p.17-p.18	privacy_protocol	server_noise_after_aggregate	More practical than local DP if central server is trusted.	not_implemented	low
Secure Aggregation	IC613_lec14_Federated_Learning_-_Privacy p.38; IC613_lec15 p.22-p.35	privacy_protocol	cryptographic_client_server_sum	Hides individual updates from server; no accuracy benefit by itself.	not_implemented	low
One-time Pad	IC613_lec15_Federated_Learning_-_Privacy p.23-p.26	privacy_protocol	client_masking_pairwise	Building block for secure aggregation, not an ML method.	reference_only	low
Client dropout handling in secure aggregation	IC613_lec15_Federated_Learning_-_Privacy_2 p.27	privacy_protocol	secure_aggregation_protocol	Explains why simple pairwise masks are insufficient when clients drop out.	reference_only	low
Shamir Secret Sharing	IC613_lec15_Federated_Learning_-_Privacy_2 p.28-p.34	privacy_protocol	client_secret_shares	Dropout-robust secure aggregation building block.	reference_only	low
